queue_length,doctors_available,avg_consult_time,emergency_cases,department,time_of_day,weekday,patient_priority,consultation_complexity,is_peak_hour,load_ratio,emergency_ratio,actual_wait_time
19,3,11.65,0,Radiology,afternoon,Wednesday,urgent,routine,1,6.33,0.0,73.48
24,1,14.14,0,Cardiology,evening,Tuesday,normal,routine,0,24.0,0.0,366.04
17,1,21.74,0,Psychiatry,night,Tuesday,normal,routine,0,17.0,0.0,375.08
21,4,9.58,0,Gynecology,night,Sunday,normal,routine,0,5.25,0.0,56.7
14,1,16.22,1,Radiology,afternoon,Monday,emergency,complex,1,14.0,0.071,159.35
10,2,19.14,1,Neurology,evening,Sunday,normal,moderate,0,5.0,0.1,106.7
39,5,8.55,3,ENT,afternoon,Friday,emergency,routine,1,7.8,0.077,51.19
26,4,13.01,3,Orthopedics,morning,Monday,normal,routine,1,6.5,0.115,130.42
14,1,5.26,1,General Medicine,evening,Friday,normal,routine,0,14.0,0.071,79.47
2,2,16.36,1,Cardiology,evening,Monday,normal,routine,0,1.0,0.5,24.63
21,5,12.47,1,Emergency,night,Monday,urgent,routine,0,4.2,0.048,53.17
33,2,12.03,0,Orthopedics,afternoon,Thursday,normal,routine,1,16.5,0.0,269.23
15,1,7.77,0,Dermatology,afternoon,Friday,urgent,routine,1,15.0,0.0,123.5
34,1,11.22,0,General Medicine,morning,Tuesday,normal,routine,1,34.0,0.0,452.18
32,5,7.99,0,Pediatrics,morning,Tuesday,urgent,routine,1,6.4,0.0,58.63
20,2,7.56,0,Ophthalmology,morning,Monday,normal,routine,1,10.0,0.0,87.52
17,5,13.86,1,Ophthalmology,evening,Thursday,normal,moderate,0,3.4,0.059,51.14
27,2,13.85,0,Pediatrics,morning,Wednesday,normal,moderate,1,13.5,0.0,218.99
32,3,7.52,1,Dermatology,afternoon,Thursday,normal,routine,1,10.67,0.031,96.68
33,4,18.3,0,Cardiology,morning,Tuesday,normal,moderate,1,8.25,0.0,215.01
23,3,9.45,0,Pediatrics,afternoon,Thursday,normal,routine,1,7.67,0.0,95.45
6,5,19.24,0,Psychiatry,afternoon,Sunday,normal,routine,0,1.2,0.0,22.32
24,4,6.85,0,ENT,night,Monday,normal,routine,0,6.0,0.0,43.56
19,2,6.47,0,ENT,evening,Saturday,normal,routine,0,9.5,0.0,52.62
11,5,15.44,0,Cardiology,evening,Thursday,normal,moderate,0,2.2,0.0,37.34
25,2,12.78,1,ENT,morning,Monday,emergency,routine,1,12.5,0.04,96.11
24,5,29.34,0,Neurology,morning,Sunday,urgent,complex,0,4.8,0.0,117.56
12,4,17.51,0,Emergency,morning,Friday,urgent,moderate,1,3.0,0.0,50.38
39,3,13.0,0,Pediatrics,morning,Thursday,normal,routine,1,13.0,0.0,189.84
7,3,26.93,0,Cardiology,night,Wednesday,normal,complex,0,2.33,0.0,58.41
14,3,11.94,1,Ophthalmology,morning,Friday,normal,routine,1,4.67,0.071,80.33
32,1,17.34,0,Cardiology,morning,Thursday,urgent,moderate,1,32.0,0.0,492.09
19,4,11.66,0,Pediatrics,afternoon,Friday,normal,routine,1,4.75,0.0,78.1
28,2,22.39,0,Ophthalmology,morning,Tuesday,normal,complex,1,14.0,0.0,395.09
8,5,9.54,1,ENT,night,Sunday,normal,moderate,0,1.6,0.125,19.81
21,5,16.11,1,Neurology,evening,Sunday,urgent,routine,0,4.2,0.048,70.29
35,1,9.7,0,ENT,afternoon,Wednesday,normal,routine,1,35.0,0.0,361.51
27,3,32.61,0,Psychiatry,night,Wednesday,normal,complex,0,9.0,0.0,300.01
18,4,10.73,0,General Medicine,night,Wednesday,normal,moderate,0,4.5,0.0,49.92
24,1,7.87,1,Pediatrics,afternoon,Monday,emergency,routine,1,24.0,0.042,137.49
21,3,9.84,0,Cardiology,morning,Wednesday,normal,routine,1,7.0,0.0,79.29
10,3,14.83,1,Emergency,evening,Monday,normal,routine,0,3.33,0.1,57.34
35,3,5.95,0,Dermatology,morning,Friday,normal,routine,1,11.67,0.0,89.5
24,3,23.95,1,Cardiology,afternoon,Friday,urgent,complex,1,8.0,0.042,200.08
16,3,8.85,0,Dermatology,night,Monday,normal,routine,0,5.33,0.0,46.49
29,4,6.75,0,General Medicine,morning,Tuesday,normal,routine,1,7.25,0.0,66.03
24,2,7.27,1,General Medicine,morning,Sunday,urgent,routine,0,12.0,0.042,76.88
22,3,12.59,0,Gynecology,afternoon,Thursday,normal,routine,1,7.33,0.0,120.05
17,2,7.06,0,General Medicine,morning,Saturday,normal,routine,0,8.5,0.0,62.55
25,2,15.87,0,Ophthalmology,morning,Tuesday,normal,moderate,1,12.5,0.0,252.09
8,3,7.55,0,General Medicine,afternoon,Thursday,normal,routine,1,2.67,0.0,27.11
24,5,6.54,0,Pediatrics,evening,Tuesday,normal,routine,0,4.8,0.0,31.74
11,2,6.91,0,Pediatrics,morning,Wednesday,normal,routine,1,5.5,0.0,42.08
19,4,16.47,0,Psychiatry,afternoon,Wednesday,normal,routine,1,4.75,0.0,104.98
15,1,17.42,1,Radiology,evening,Sunday,urgent,moderate,0,15.0,0.067,243.9
26,3,9.64,1,General Medicine,evening,Saturday,normal,routine,0,8.67,0.038,89.23
18,5,9.88,1,General Medicine,evening,Tuesday,normal,routine,0,3.6,0.056,39.03
5,3,16.89,0,Cardiology,evening,Wednesday,normal,routine,0,1.67,0.0,23.86
16,5,10.96,0,ENT,afternoon,Friday,normal,moderate,1,3.2,0.0,46.85
25,5,14.64,0,Neurology,morning,Monday,normal,routine,1,5.0,0.0,82.62
26,5,9.99,0,Gynecology,morning,Thursday,normal,routine,1,5.2,0.0,61.75
24,1,11.67,0,Gynecology,morning,Saturday,normal,routine,0,24.0,0.0,261.55
4,4,16.33,1,ENT,night,Thursday,urgent,complex,0,1.0,0.25,22.94
15,5,20.34,1,Ophthalmology,morning,Wednesday,normal,complex,1,3.0,0.067,86.21
17,1,12.77,0,Cardiology,morning,Friday,normal,routine,1,17.0,0.0,264.72
5,1,9.24,0,Gynecology,morning,Saturday,normal,routine,0,5.0,0.0,43.5
10,4,8.09,0,General Medicine,morning,Thursday,emergency,routine,1,2.5,0.0,14.3
1,5,15.24,0,Neurology,evening,Tuesday,normal,routine,0,0.2,0.0,3.18
4,2,29.08,0,Psychiatry,night,Friday,urgent,moderate,0,2.0,0.0,49.0
13,4,9.5,0,Ophthalmology,morning,Tuesday,normal,routine,1,3.25,0.0,37.14
26,3,11.91,0,Gynecology,afternoon,Tuesday,normal,routine,1,8.67,0.0,126.27
28,4,15.15,0,Orthopedics,morning,Thursday,emergency,routine,1,7.0,0.0,57.56
18,2,8.59,0,Emergency,evening,Wednesday,normal,routine,0,9.0,0.0,85.86
2,2,17.1,2,Psychiatry,evening,Wednesday,urgent,routine,0,1.0,1.0,26.07
22,4,9.01,1,Dermatology,afternoon,Saturday,normal,moderate,0,5.5,0.045,49.49
3,5,12.68,1,General Medicine,night,Saturday,emergency,moderate,0,0.6,0.333,7.5
21,3,23.02,1,Neurology,morning,Thursday,normal,moderate,1,7.0,0.048,225.08
26,4,16.28,0,Orthopedics,evening,Thursday,normal,routine,0,6.5,0.0,118.5
27,5,8.11,1,Pediatrics,afternoon,Tuesday,normal,routine,1,5.4,0.037,53.18
26,3,12.07,1,ENT,afternoon,Friday,normal,complex,1,8.67,0.038,137.86
25,4,12.25,0,Cardiology,morning,Thursday,normal,routine,1,6.25,0.0,95.91
14,2,23.51,1,Cardiology,evening,Wednesday,normal,complex,0,7.0,0.071,170.49
7,1,14.79,0,Cardiology,night,Monday,urgent,routine,0,7.0,0.0,93.62
20,4,10.99,1,Pediatrics,morning,Friday,normal,moderate,1,5.0,0.05,75.45
25,5,12.05,0,Radiology,evening,Monday,normal,routine,0,5.0,0.0,57.46
37,5,9.1,0,Dermatology,morning,Monday,normal,moderate,1,7.4,0.0,80.07
41,2,13.75,0,Emergency,morning,Tuesday,normal,moderate,1,20.5,0.0,319.29
27,2,5.73,0,Pediatrics,afternoon,Thursday,normal,routine,1,13.5,0.0,93.22
20,5,16.99,0,Neurology,morning,Wednesday,normal,routine,1,4.0,0.0,86.36
19,5,8.54,1,Dermatology,afternoon,Wednesday,normal,routine,1,3.8,0.053,38.52
2,4,14.22,0,Gynecology,evening,Monday,normal,routine,0,0.5,0.0,6.71
43,2,10.47,0,ENT,afternoon,Tuesday,normal,moderate,1,21.5,0.0,260.83
20,1,10.99,0,ENT,afternoon,Friday,normal,routine,1,20.0,0.0,277.86
20,5,7.36,2,ENT,evening,Thursday,urgent,routine,0,4.0,0.1,30.2
6,5,15.74,0,Ophthalmology,morning,Monday,normal,complex,1,1.2,0.0,26.05
7,1,21.73,2,Orthopedics,night,Monday,emergency,moderate,0,7.0,0.286,85.21
35,4,16.3,1,Pediatrics,morning,Monday,normal,complex,1,8.75,0.029,181.08
11,2,17.54,0,Emergency,night,Monday,normal,moderate,0,5.5,0.0,92.46
19,1,10.3,0,ENT,evening,Monday,urgent,complex,0,19.0,0.0,181.08
9,5,14.13,2,Orthopedics,night,Monday,emergency,routine,0,1.8,0.222,20.5
30,1,13.26,1,Emergency,morning,Thursday,urgent,moderate,1,30.0,0.033,401.15
32,5,5.0,0,Dermatology,morning,Tuesday,normal,routine,1,6.4,0.0,44.53
12,1,11.2,1,Emergency,morning,Thursday,normal,moderate,1,12.0,0.083,199.65
4,4,7.49,1,General Medicine,evening,Monday,normal,routine,0,1.0,0.25,11.48
13,5,21.94,0,Psychiatry,afternoon,Tuesday,normal,routine,1,2.6,0.0,68.49
18,5,17.1,0,Neurology,afternoon,Monday,normal,routine,1,3.6,0.0,72.18
10,5,16.29,1,Ophthalmology,evening,Tuesday,normal,moderate,0,2.0,0.1,40.54
35,5,11.88,1,Cardiology,afternoon,Thursday,normal,routine,1,7.0,0.029,114.56
4,5,12.87,1,Gynecology,evening,Saturday,normal,routine,0,0.8,0.25,17.47
9,1,9.38,0,Gynecology,morning,Thursday,normal,routine,1,9.0,0.0,106.46
42,5,6.39,0,General Medicine,afternoon,Thursday,normal,routine,1,8.4,0.0,74.16
18,3,12.34,0,Emergency,afternoon,Friday,normal,routine,1,6.0,0.0,94.03
6,3,11.48,0,Pediatrics,morning,Saturday,normal,routine,0,2.0,0.0,22.56
3,2,12.14,0,Radiology,evening,Tuesday,normal,moderate,0,1.5,0.0,17.93
8,4,15.57,0,Orthopedics,night,Thursday,normal,moderate,0,2.0,0.0,32.71
16,4,8.17,0,Ophthalmology,morning,Wednesday,urgent,routine,1,4.0,0.0,34.0
21,1,16.38,0,Neurology,morning,Sunday,urgent,routine,0,21.0,0.0,283.95
12,4,12.59,0,Cardiology,afternoon,Wednesday,normal,routine,1,3.0,0.0,46.5
10,2,19.99,0,Psychiatry,morning,Wednesday,urgent,routine,1,5.0,0.0,112.89
20,2,15.55,0,Emergency,afternoon,Wednesday,normal,routine,1,10.0,0.0,197.59
27,2,16.17,0,Neurology,evening,Tuesday,normal,routine,0,13.5,0.0,227.91
14,1,18.07,1,Ophthalmology,evening,Monday,urgent,complex,0,14.0,0.071,220.42
23,1,11.18,0,Emergency,morning,Wednesday,normal,routine,1,23.0,0.0,327.51
17,5,10.57,0,Radiology,morning,Wednesday,normal,routine,1,3.4,0.0,49.22
16,3,11.58,0,Orthopedics,afternoon,Friday,normal,routine,1,5.33,0.0,81.43
5,1,13.23,0,Dermatology,evening,Monday,normal,complex,0,5.0,0.0,60.72
14,5,9.37,0,Emergency,afternoon,Monday,urgent,routine,1,2.8,0.0,27.71
10,5,9.04,0,Emergency,night,Tuesday,normal,routine,0,2.0,0.0,18.35
17,4,7.98,0,General Medicine,evening,Thursday,normal,routine,0,4.25,0.0,39.93
15,2,5.25,0,Dermatology,morning,Monday,urgent,routine,1,7.5,0.0,34.67
1,1,12.16,0,General Medicine,night,Monday,normal,moderate,0,1.0,0.0,11.68
34,3,9.75,0,Ophthalmology,morning,Friday,urgent,routine,1,11.33,0.0,126.07
23,1,13.31,0,Neurology,morning,Sunday,normal,routine,0,23.0,0.0,282.24
5,2,18.44,0,Psychiatry,night,Sunday,urgent,routine,0,2.5,0.0,42.42
15,1,15.78,0,Emergency,morning,Thursday,urgent,moderate,1,15.0,0.0,249.23
39,4,17.86,0,Gynecology,afternoon,Monday,emergency,moderate,1,9.75,0.0,108.47
37,1,15.11,0,Radiology,morning,Monday,normal,routine,1,37.0,0.0,649.6
24,1,12.61,0,Emergency,morning,Sunday,normal,routine,0,24.0,0.0,309.03
21,4,14.59,1,Cardiology,morning,Thursday,normal,routine,1,5.25,0.048,94.34
35,3,25.71,0,Orthopedics,morning,Friday,normal,complex,1,11.67,0.0,362.99
28,4,18.62,1,Cardiology,afternoon,Tuesday,normal,moderate,1,7.0,0.036,161.82
15,2,9.44,2,ENT,morning,Friday,emergency,routine,1,7.5,0.133,58.34
26,2,18.43,0,Psychiatry,evening,Wednesday,normal,routine,0,13.0,0.0,252.02
5,3,21.0,0,Orthopedics,evening,Friday,urgent,moderate,0,1.67,0.0,28.64
20,5,7.17,0,ENT,morning,Monday,normal,routine,1,4.0,0.0,33.13
31,2,17.26,0,Cardiology,afternoon,Wednesday,normal,routine,1,15.5,0.0,354.92
34,3,18.94,0,Orthopedics,afternoon,Monday,normal,moderate,1,11.33,0.0,284.76
26,1,10.24,0,Pediatrics,afternoon,Wednesday,normal,routine,1,26.0,0.0,347.51
15,3,17.9,2,Gynecology,night,Thursday,normal,moderate,0,5.0,0.133,113.67
16,5,13.36,0,Ophthalmology,afternoon,Tuesday,normal,routine,1,3.2,0.0,55.95
5,3,21.39,0,Psychiatry,morning,Sunday,normal,routine,0,1.67,0.0,35.35
37,1,8.45,0,Pediatrics,morning,Monday,normal,routine,1,37.0,0.0,365.88
7,4,6.86,0,Pediatrics,evening,Sunday,normal,routine,0,1.75,0.0,10.15
18,4,9.37,0,Gynecology,evening,Monday,normal,routine,0,4.5,0.0,38.48
24,4,27.97,0,Psychiatry,morning,Saturday,normal,moderate,0,6.0,0.0,175.31
24,5,16.36,0,Gynecology,afternoon,Sunday,normal,moderate,0,4.8,0.0,80.71
17,1,9.97,0,Gynecology,morning,Monday,normal,routine,1,17.0,0.0,212.66
16,2,10.81,1,Orthopedics,afternoon,Thursday,urgent,routine,1,8.0,0.062,96.12
7,5,11.4,0,Emergency,evening,Thursday,normal,routine,0,1.4,0.0,16.24
34,5,20.25,0,Psychiatry,afternoon,Monday,urgent,routine,1,6.8,0.0,164.17
21,5,7.88,2,ENT,morning,Thursday,normal,routine,1,4.2,0.095,49.26
33,1,5.29,0,ENT,morning,Wednesday,urgent,routine,1,33.0,0.0,181.65
19,5,5.48,0,Radiology,afternoon,Tuesday,urgent,routine,1,3.8,0.0,23.9
11,2,20.15,0,Emergency,evening,Tuesday,urgent,complex,0,5.5,0.0,94.98
9,3,8.53,1,ENT,night,Thursday,normal,routine,0,3.0,0.111,29.76
23,3,17.59,2,General Medicine,evening,Tuesday,emergency,complex,0,7.67,0.087,78.62
30,1,10.99,2,Orthopedics,morning,Wednesday,emergency,routine,1,30.0,0.067,242.93
12,3,18.8,0,Psychiatry,night,Thursday,normal,routine,0,4.0,0.0,85.09
12,1,16.57,0,Orthopedics,morning,Wednesday,normal,moderate,1,12.0,0.0,253.31
1,4,21.15,0,Neurology,evening,Monday,normal,moderate,0,0.25,0.0,5.04
29,5,10.7,1,Ophthalmology,afternoon,Tuesday,normal,routine,1,5.8,0.034,86.7
23,3,23.81,0,Neurology,morning,Saturday,normal,moderate,0,7.67,0.0,180.82
37,1,7.56,1,ENT,morning,Wednesday,urgent,routine,1,37.0,0.027,310.5
13,4,20.28,0,Gynecology,morning,Saturday,urgent,moderate,0,3.25,0.0,61.0
4,5,16.37,0,Gynecology,morning,Saturday,normal,moderate,0,0.8,0.0,12.49
12,1,8.29,1,Pediatrics,morning,Thursday,normal,routine,1,12.0,0.083,135.78
16,1,12.71,0,Emergency,night,Tuesday,normal,routine,0,16.0,0.0,225.97
9,5,9.31,0,General Medicine,morning,Saturday,normal,routine,0,1.8,0.0,20.35
30,2,13.24,0,ENT,morning,Wednesday,urgent,moderate,1,15.0,0.0,238.87
13,5,15.58,0,Neurology,morning,Thursday,normal,routine,1,2.6,0.0,44.98
39,1,11.14,0,Gynecology,afternoon,Thursday,normal,routine,1,39.0,0.0,519.07
32,5,16.32,0,Cardiology,afternoon,Wednesday,normal,routine,1,6.4,0.0,131.56
26,5,12.98,0,Cardiology,morning,Monday,normal,routine,1,5.2,0.0,83.77
38,3,11.87,0,Gynecology,afternoon,Monday,normal,routine,1,12.67,0.0,180.87
17,5,19.19,1,Cardiology,afternoon,Friday,urgent,moderate,1,3.4,0.059,76.31
31,5,18.57,1,Orthopedics,morning,Thursday,urgent,moderate,1,6.2,0.032,130.67
22,3,12.76,0,Gynecology,afternoon,Saturday,normal,routine,0,7.33,0.0,98.36
17,2,34.74,0,Psychiatry,evening,Thursday,urgent,complex,0,8.5,0.0,206.56
6,1,13.68,0,Ophthalmology,night,Friday,normal,routine,0,6.0,0.0,77.19
3,3,8.59,0,Dermatology,afternoon,Saturday,normal,routine,0,1.0,0.0,7.39
33,2,9.69,0,Ophthalmology,afternoon,Monday,normal,routine,1,16.5,0.0,205.39
22,3,6.74,0,Ophthalmology,afternoon,Thursday,normal,routine,1,7.33,0.0,66.84
17,2,6.77,2,Pediatrics,afternoon,Thursday,normal,routine,1,8.5,0.118,80.85
15,2,9.81,0,Ophthalmology,morning,Monday,normal,routine,1,7.5,0.0,93.35
15,3,6.96,0,Dermatology,afternoon,Sunday,normal,routine,0,5.0,0.0,35.92
20,2,17.07,0,Orthopedics,morning,Tuesday,urgent,routine,1,10.0,0.0,182.5
3,5,8.58,0,General Medicine,night,Thursday,normal,routine,0,0.6,0.0,5.52
17,5,12.51,0,Gynecology,evening,Wednesday,normal,routine,0,3.4,0.0,44.12
23,4,10.75,1,Radiology,morning,Friday,normal,routine,1,5.75,0.043,78.19
1,3,12.48,0,Radiology,afternoon,Saturday,normal,routine,0,0.33,0.0,4.22
15,3,16.33,2,Neurology,afternoon,Saturday,emergency,routine,0,5.0,0.133,48.93
6,3,15.47,0,ENT,night,Wednesday,urgent,moderate,0,2.0,0.0,26.77
19,2,8.2,0,Dermatology,morning,Wednesday,normal,moderate,1,9.5,0.0,102.71
29,2,9.03,1,ENT,afternoon,Friday,emergency,routine,1,14.5,0.034,92.15
4,1,10.75,0,General Medicine,morning,Sunday,urgent,moderate,0,4.0,0.0,33.51
19,4,7.57,0,Pediatrics,afternoon,Monday,normal,routine,1,4.75,0.0,45.9
24,5,14.66,0,Orthopedics,evening,Friday,normal,routine,0,4.8,0.0,69.27
28,5,10.85,0,Dermatology,afternoon,Tuesday,normal,complex,1,5.6,0.0,78.76
26,4,11.14,0,Dermatology,afternoon,Wednesday,normal,moderate,1,6.5,0.0,93.73
23,2,12.07,0,ENT,morning,Thursday,normal,complex,1,11.5,0.0,183.92
35,1,12.28,1,Cardiology,morning,Monday,normal,routine,1,35.0,0.029,583.77
4,4,28.7,1,Psychiatry,evening,Monday,normal,moderate,0,1.0,0.25,42.74
28,1,9.93,0,ENT,night,Monday,normal,routine,0,28.0,0.0,305.56
29,1,23.62,1,Cardiology,morning,Monday,normal,complex,1,29.0,0.034,878.79
21,2,10.47,0,General Medicine,afternoon,Wednesday,urgent,routine,1,10.5,0.0,113.99
15,1,16.07,0,Orthopedics,morning,Thursday,normal,moderate,1,15.0,0.0,293.18
18,4,6.34,1,Dermatology,morning,Friday,emergency,routine,1,4.5,0.056,21.2
10,5,17.01,1,Neurology,evening,Saturday,urgent,routine,0,2.0,0.1,38.35
37,4,21.54,1,Ophthalmology,morning,Friday,normal,complex,1,9.25,0.027,265.92
37,4,10.35,0,Pediatrics,afternoon,Tuesday,normal,routine,1,9.25,0.0,124.15
15,2,16.54,0,Orthopedics,morning,Wednesday,normal,routine,1,7.5,0.0,173.32
8,3,6.13,0,General Medicine,afternoon,Sunday,urgent,routine,0,2.67,0.0,13.03
24,4,20.3,0,Psychiatry,morning,Monday,normal,routine,1,6.0,0.0,152.52
22,4,13.79,0,Dermatology,evening,Sunday,normal,complex,0,5.5,0.0,84.61
20,5,12.88,1,Gynecology,afternoon,Friday,normal,routine,1,4.0,0.05,68.18
14,1,13.99,0,Cardiology,morning,Saturday,normal,routine,0,14.0,0.0,207.98
35,5,13.31,3,Gynecology,afternoon,Monday,emergency,routine,1,7.0,0.086,72.08
13,5,13.02,0,Orthopedics,afternoon,Tuesday,normal,routine,1,2.6,0.0,42.82
26,3,12.65,0,Radiology,evening,Monday,normal,routine,0,8.67,0.0,108.9
35,3,8.05,2,Dermatology,morning,Thursday,emergency,routine,1,11.67,0.057,62.83
11,1,18.16,1,Orthopedics,evening,Monday,normal,moderate,0,11.0,0.091,225.72
33,3,8.12,1,General Medicine,morning,Wednesday,urgent,routine,1,11.0,0.03,89.77
18,5,28.49,0,Psychiatry,morning,Tuesday,normal,moderate,1,3.6,0.0,126.71
28,4,18.19,0,Neurology,afternoon,Thursday,normal,moderate,1,7.0,0.0,154.86
1,4,12.39,1,Cardiology,evening,Tuesday,normal,routine,0,0.25,1.0,9.48
11,5,27.73,0,Cardiology,morning,Saturday,normal,complex,0,2.2,0.0,61.53
29,5,21.83,1,Neurology,morning,Wednesday,urgent,moderate,1,5.8,0.034,156.05
35,1,7.78,0,ENT,morning,Tuesday,urgent,routine,1,35.0,0.0,311.92
4,2,9.59,0,ENT,evening,Monday,normal,moderate,0,2.0,0.0,19.11
42,1,14.88,0,Pediatrics,afternoon,Monday,normal,moderate,1,42.0,0.0,739.17
30,3,9.36,1,ENT,morning,Tuesday,normal,routine,1,10.0,0.033,114.23
16,1,13.57,0,Gynecology,evening,Wednesday,normal,routine,0,16.0,0.0,212.7
27,1,10.34,0,Emergency,afternoon,Tuesday,urgent,routine,1,27.0,0.0,308.27
28,4,14.91,0,Gynecology,morning,Thursday,normal,routine,1,7.0,0.0,133.1
6,3,11.59,0,Gynecology,morning,Sunday,normal,routine,0,2.0,0.0,23.05
22,3,22.27,0,Gynecology,morning,Tuesday,normal,complex,1,7.33,0.0,205.27
23,4,10.96,0,Cardiology,morning,Wednesday,normal,routine,1,5.75,0.0,77.0
10,5,19.52,0,Psychiatry,afternoon,Friday,normal,routine,1,2.0,0.0,49.65
12,4,21.61,0,Neurology,night,Tuesday,urgent,moderate,0,3.0,0.0,62.13
25,3,10.02,0,ENT,morning,Thursday,normal,moderate,1,8.33,0.0,101.51
18,1,11.99,1,Radiology,morning,Tuesday,normal,moderate,1,18.0,0.056,287.51
26,2,16.77,1,Cardiology,morning,Wednesday,normal,routine,1,13.0,0.038,303.07
30,5,7.81,1,Dermatology,morning,Wednesday,urgent,routine,1,6.0,0.033,53.78
20,2,15.96,0,Orthopedics,night,Monday,normal,moderate,0,10.0,0.0,160.03
16,2,13.63,0,Neurology,morning,Wednesday,normal,routine,1,8.0,0.0,139.29
21,3,13.62,0,Emergency,morning,Wednesday,normal,routine,1,7.0,0.0,110.44
29,2,13.57,1,Cardiology,evening,Thursday,normal,routine,0,14.5,0.034,207.91
15,5,17.34,0,Emergency,afternoon,Wednesday,normal,moderate,1,3.0,0.0,64.78
10,1,10.46,1,Pediatrics,evening,Thursday,normal,routine,0,10.0,0.1,107.09
27,1,8.53,2,General Medicine,night,Wednesday,normal,routine,0,27.0,0.074,210.7
20,4,10.17,0,Gynecology,morning,Friday,normal,routine,1,5.0,0.0,60.16
27,2,9.0,1,ENT,afternoon,Wednesday,normal,routine,1,13.5,0.037,162.08
26,3,21.37,0,Psychiatry,morning,Friday,normal,routine,1,8.67,0.0,228.37
9,5,25.28,1,Emergency,evening,Tuesday,urgent,complex,0,1.8,0.111,46.7
